,PRICE,MILEAGE_KM,COE_FROM_SCRAPE_DATE,DAYS_OF_COE_LEFT,CAR_AGE,DEREG_VALUE_FROM_SCRAPE_DATE,OMV,ENGINE_CAPACITY_CC,CURB_WEIGHT_KG,POWER,LISTING_URL,BRAND
64,55800.0,105000.0,44002.0,1278.0,7.0,23726.0,17558.0,1497.0,1096.0,118.0,https://www.sgcarmart.com/used_cars/info.php?ID=1242329&DL=3037&utm_content=SLeligible,Honda
66,299800.0,882.0,116000.0,3346.0,4.0,145307.0,56315.0,1991.0,1680.0,301.0,https://www.sgcarmart.com/used_cars/info.php?ID=1222665&DL=3350&utm_content=SLeligible,Mercedes-Benz
68,56800.0,130000.0,41761.0,1247.0,7.0,24203.0,19881.0,1197.0,1325.0,113.0,https://www.sgcarmart.com/used_cars/info.php?ID=1289051&DL=2725,Nissan
69,48000.0,165000.0,55100.0,799.0,8.0,24106.0,19805.0,1998.0,1682.0,237.0,https://www.sgcarmart.com/used_cars/info.php?ID=1288698&DL=2927,Subaru
72,109800.0,85000.0,32889.0,2067.0,5.0,48909.0,34427.0,1499.0,1490.0,107.0,https://www.sgcarmart.com/used_cars/info.php?ID=1278736&DL=2984&utm_content=SLeligible,BMW
74,31800.0,104546.0,56001.0,584.0,9.0,16728.0,18454.0,1197.0,1285.0,113.0,https://www.sgcarmart.com/used_cars/info.php?ID=1282073&DL=1136,Nissan
77,95888.0,72000.0,39000.0,1460.0,6.0,44849.0,35354.0,1984.0,1790.0,217.0,https://www.sgcarmart.com/used_cars/info.php?ID=1222048&DL=3451&utm_content=SLeligible,Volkswagen
79,167800.0,26000.0,82801.0,2735.0,3.0,100388.0,41714.0,1998.0,1490.0,154.0,https://www.sgcarmart.com/used_cars/info.php?ID=1229096&DL=2792&utm_content=SLeligible,BMW
80,127800.0,101000.0,52502.0,1863.0,6.0,61058.0,38330.0,1969.0,1899.0,250.0,https://www.sgcarmart.com/used_cars/info.php?ID=1284048&DL=2729,Volvo
82,89988.0,31000.0,40714.0,2401.0,4.0,31909.0,16464.0,1317.0,1070.0,96.0,https://www.sgcarmart.com/used_cars/info.php?ID=1272814&DL=2870&utm_content=SLeligible,Honda
83,55800.0,114000.0,38712.0,1493.0,17.0,15951.0,19551.0,1799.0,1390.0,138.0,https://www.sgcarmart.com/used_cars/info.php?ID=1289652&DL=3162&utm_content=SLeligible,Honda
84,79800.0,120000.0,61103.0,580.0,9.0,40355.0,45427.0,2494.0,2065.0,179.0,https://www.sgcarmart.com/used_cars/info.php?ID=1284521&DL=4653,Toyota
85,163777.0,82500.0,51000.0,764.0,9.0,106272.0,100239.0,2995.0,2214.0,335.0,https://www.sgcarmart.com/used_cars/info.php?ID=1248911&DL=2689&utm_content=SLeligible,Land
86,80800.0,37000.0,27000.0,1949.0,5.0,27645.0,17608.0,1497.0,1096.0,118.0,https://www.sgcarmart.com/used_cars/info.php?ID=1289470&DL=3414,Honda
89,268888.0,8200.0,116201.0,2954.0,2.0,149709.0,46517.0,1991.0,1680.0,301.0,https://www.sgcarmart.com/used_cars/info.php?ID=1290377&DL=3632,Mercedes-Benz
90,84800.0,135000.0,42283.0,2562.0,13.0,29691.0,27344.0,1390.0,1286.0,158.0,https://www.sgcarmart.com/used_cars/info.php?ID=1288894&DL=1122&utm_content=SLeligible,Volkswagen
91,42800.0,110000.0,71509.0,432.0,10.0,33313.0,41532.0,1997.0,1615.0,181.0,https://www.sgcarmart.com/used_cars/info.php?ID=1286922&DL=4412,BMW
93,72800.0,109000.0,54616.0,1098.0,8.0,37088.0,28152.0,1986.0,1580.0,148.0,https://www.sgcarmart.com/used_cars/info.php?ID=1285539&DL=1400,Toyota
94,112300.0,45000.0,41996.0,2226.0,3.0,42964.0,18150.0,1498.0,1119.0,119.0,https://www.sgcarmart.com/used_cars/info.php?ID=1211237&DL=3718&utm_content=SLeligible,Honda
95,56800.0,142850.0,32121.0,1670.0,16.0,14740.0,31341.0,1984.0,1391.0,197.0,https://www.sgcarmart.com/used_cars/info.php?ID=1278939&DL=1240&utm_content=SLeligible,Volkswagen
97,15800.0,134000.0,16438.0,430.0,14.0,4062.0,16680.0,1598.0,1195.0,107.0,https://www.sgcarmart.com/used_cars/info.php?ID=1289653&DL=4659,Toyota
100,68800.0,144330.0,39563.0,1858.0,15.0,20258.0,22837.0,1797.0,1340.0,142.0,https://www.sgcarmart.com/used_cars/info.php?ID=1289346&DL=2077&utm_content=SLeligible,Toyota
102,243800.0,54000.0,122414.0,3437.0,11.0,115773.0,65212.0,2706.0,1415.0,261.0,https://www.sgcarmart.com/used_cars/info.php?ID=1229975&DL=2291&utm_content=SLeligible,Porsche
105,136800.0,30000.0,37500.0,1826.0,5.0,48263.0,30808.0,1998.0,1695.0,227.0,https://www.sgcarmart.com/used_cars/info.php?ID=1267832&DL=3405&utm_content=SLeligible,Toyota
106,49800.0,50661.0,49430.0,734.0,8.0,22030.0,17792.0,1498.0,1046.0,128.0,https://www.sgcarmart.com/used_cars/info.php?ID=1275902&DL=3863&utm_content=SLeligible,Honda
108,199800.0,87000.0,33420.0,1581.0,6.0,95157.0,79574.0,2891.0,1620.0,502.0,https://www.sgcarmart.com/used_cars/info.php?ID=1289740&DL=3321,Alfa
109,40800.0,49188.0,53000.0,827.0,8.0,20823.0,14183.0,1590.0,1284.0,115.0,https://www.sgcarmart.com/used_cars/info.php?ID=1290411&DL=2199,Mitsubishi
111,28000.0,142961.0,71889.0,34.0,9.0,16606.0,19504.0,1999.0,1460.0,151.0,https://www.sgcarmart.com/used_cars/info.php?ID=1215514&DL=1368,Hyundai
114,113300.0,76000.0,40001.0,1946.0,5.0,50870.0,33715.0,1984.0,1480.0,187.0,https://www.sgcarmart.com/used_cars/info.php?ID=1289974&DL=3541,Audi
115,45800.0,163000.0,36888.0,1553.0,16.0,15816.0,28486.0,2488.0,1770.0,160.0,https://www.sgcarmart.com/used_cars/info.php?ID=1288737&DL=3750&utm_content=SLeligible,Nissan
116,71500.0,103000.0,23568.0,1499.0,6.0,17797.0,18784.0,998.0,1185.0,118.0,https://www.sgcarmart.com/used_cars/info.php?ID=1288856&DL=4411,Kia
118,201777.0,15000.0,115388.0,3132.0,4.0,133278.0,37866.0,1332.0,1485.0,160.0,https://www.sgcarmart.com/used_cars/info.php?ID=1252717&DL=3648&utm_content=SLeligible,Mercedes-Benz
119,108800.0,48000.0,47010.0,2654.0,3.0,37958.0,18869.0,1598.0,1280.0,120.0,https://www.sgcarmart.com/used_cars/info.php?ID=1289297&DL=3282,Hyundai
