,PRICE,PREDICTED_PRICE,LISTING_URL,BRAND,RECOMMENDED
102,100800.0,104704.58,https://www.sgcarmart.com/used_cars/info.php?ID=1265185&DL=1000&utm_content=SLeligible,BMW,True
103,71800.0,73055.7,https://www.sgcarmart.com/used_cars/info.php?ID=1289938&DL=2650&utm_content=SLeligible,Volkswagen,True
104,65998.0,67876.93,https://www.sgcarmart.com/used_cars/info.php?ID=1289143&DL=3382&utm_content=SLeligible,Nissan,True
105,62128.0,63311.24,https://www.sgcarmart.com/used_cars/info.php?ID=1270377&DL=3160&utm_content=SLeligible,Toyota,True
106,41400.0,42247.12,https://www.sgcarmart.com/used_cars/info.php?ID=1288688&DL=3381,Nissan,True
108,42800.0,44070.8,https://www.sgcarmart.com/used_cars/info.php?ID=1289996&DL=1094,Ssangyong,True
109,97944.0,101901.835,https://www.sgcarmart.com/used_cars/info.php?ID=1289882&DL=2648,Audi,True
110,132777.0,134227.74,https://www.sgcarmart.com/used_cars/info.php?ID=1277855&DL=2689&utm_content=SLeligible,BMW,True
112,61800.0,62241.465,https://www.sgcarmart.com/used_cars/info.php?ID=1290151&DL=3210,Mercedes-Benz,True
116,101000.0,105087.71,https://www.sgcarmart.com/used_cars/info.php?ID=1244527&DL=1368&utm_content=SLeligible,Mercedes-Benz,True
117,99800.0,111369.305,https://www.sgcarmart.com/used_cars/info.php?ID=1287965&DL=4327,Mitsubishi,True
118,87800.0,91200.24,https://www.sgcarmart.com/used_cars/info.php?ID=1196447&DL=3647&utm_content=SLeligible,Infiniti,True
119,52800.0,52922.19,https://www.sgcarmart.com/used_cars/info.php?ID=1289648&DL=1111,BMW,True
120,49800.0,53063.065,https://www.sgcarmart.com/used_cars/info.php?ID=1273720&DL=1001&utm_content=SLeligible,Mitsubishi,True
123,127800.0,131317.71,https://www.sgcarmart.com/used_cars/info.php?ID=1277339&DL=1228&utm_content=SLeligible,BMW,True
125,84500.0,84901.77,https://www.sgcarmart.com/used_cars/info.php?ID=1289324&DL=2549,Toyota,True
126,93800.0,94872.75,https://www.sgcarmart.com/used_cars/info.php?ID=1280360&DL=2900&utm_content=SLeligible,Mercedes-Benz,True
130,30000.0,30388.64,https://www.sgcarmart.com/used_cars/info.php?ID=1235843&DL=4449&utm_content=SLeligible,Nissan,True
131,82800.0,83018.275,https://www.sgcarmart.com/used_cars/info.php?ID=1290224&DL=4453&utm_content=SLeligible,Volkswagen,True
133,44888.0,45167.365,https://www.sgcarmart.com/used_cars/info.php?ID=1290330&DL=4583,Toyota,True
135,56800.0,59995.4,https://www.sgcarmart.com/used_cars/info.php?ID=1286855&DL=1137,Mitsubishi,True
139,60800.0,61663.5,https://www.sgcarmart.com/used_cars/info.php?ID=1279923&DL=1194&utm_content=SLeligible,Toyota,True
141,171777.0,174930.18,https://www.sgcarmart.com/used_cars/info.php?ID=1282229&DL=3648,Mercedes-Benz,True
143,100800.0,102367.16,https://www.sgcarmart.com/used_cars/info.php?ID=1289526&DL=4370,Peugeot,True
144,84800.0,88769.9,https://www.sgcarmart.com/used_cars/info.php?ID=1283302&DL=2984&utm_content=SLeligible,Audi,True
145,103800.0,115043.52,https://www.sgcarmart.com/used_cars/info.php?ID=1130539&DL=2349,Mercedes-Benz,True
146,175800.0,177142.63,https://www.sgcarmart.com/used_cars/info.php?ID=1289243&DL=1000&utm_content=SLeligible,BMW,True
147,25500.0,25850.5,https://www.sgcarmart.com/used_cars/info.php?ID=1276967&DL=2855,Audi,True
148,22800.0,28589.08,https://www.sgcarmart.com/used_cars/info.php?ID=1279170&DL=4412&utm_content=SLeligible,Honda,True
