,LISTING_URL,BRAND,PRICE,DEPRE_VALUE_PER_YEAR,REG_DATE,MILEAGE_KM,MANUFACTURED_YEAR,ROAD_TAX_PER_YEAR,TRANSMISSION,DEREG_VALUE_FROM_SCRAPE_DATE,SCRAPE_DATE,OMV,ARF,COE_FROM_SCRAPE_DATE,DAYS_OF_COE_LEFT,ENGINE_CAPACITY_CC,CURB_WEIGHT_KG,NO_OF_OWNERS,VEHICLE_TYPE
22,https://www.sgcarmart.com/used_cars/info.php?ID=1252169&DL=3037&utm_content=SLeligible,Hyundai,80800,14460,08-May-2019,80000,2019,738,Auto,26549,13/03/2024,12587,12587,33199,1859,1591,1345,2,Mid-Sized Sedan
23,https://www.sgcarmart.com/used_cars/info.php?ID=1264521&DL=3287&utm_content=SLeligible,Volkswagen,36800,14800,14-Jan-2016,94000,2015,620,Auto,18824,13/03/2024,19184,19184,45002,365,1390,1245,5,Sports Car
24,https://www.sgcarmart.com/used_cars/info.php?ID=1245012&DL=2448&utm_content=SLeligible,Mercedes-Benz,185800,28770,22-Jul-2019,71000,2019,1202,Auto,68692,13/03/2024,50668,63203,39728,1953,1991,1785,1,SUV
25,https://www.sgcarmart.com/used_cars/info.php?ID=1265712&DL=2469&utm_content=SLeligible,Mercedes-Benz,49800,19270,22-Jun-2015,134833,2014,1202,Auto,37327,13/03/2024,45353,50495,75000,463,1991,1655,2,Luxury Sedan
26,https://www.sgcarmart.com/used_cars/info.php?ID=1252488&DL=2356&utm_content=SLeligible,Mercedes-Benz,106800,23830,31-Aug-2017,89091,2016,1734,Auto,48792,13/03/2024,,,50000,1252,1950,1680,2,Luxury
27,https://www.sgcarmart.com/used_cars/info.php?ID=1279053&DL=2728,Honda,34800,15250,03-Mar-2016,109127,2015,682,Auto,13894,13/03/2024,19503,9503,44001,402,1496,1190,1,SUV
28,https://www.sgcarmart.com/used_cars/info.php?ID=1271843&DL=1368,Kia,96800,13320,30-Nov-2020,54652,2019,738,Auto,36275,13/03/2024,14607,14607,37690,2436,1591,1287,2,Mid-Sized Sedan
29,https://www.sgcarmart.com/used_cars/info.php?ID=1273210&DL=2626,Audi,62800,18210,26-Nov-2016,92000,2016,624,Auto,30596,13/03/2024,32219,27107,53001,972,1395,1450,1,Luxury Sedan
30,https://www.sgcarmart.com/used_cars/info.php?ID=1255291&DL=3647&utm_content=SLeligible,Citroen,60800,14240,13-Dec-2017,,2017,1144,Auto,25238,13/03/2024,,,41617,1344,1560,1365,1,MPV
31,https://www.sgcarmart.com/used_cars/info.php?ID=1276488&DL=4508,Jaguar,66800,15370,28-Jun-2017,112000,2017,1812,Auto,36710,13/03/2024,,,47501,1189,1999,1574,3,Luxury
