,DEPRE_VALUE_PER_YEAR,PREDICTED_DEPRE,RECOMMENDED,LISTING_URL
1698,25050.0,29028.245269292293,True,https://www.sgcarmart.com/used_cars/info.php?ID=1197116&DL=3712&utm_content=SLeligible
1701,38010.0,43487.4009006541,True,https://www.sgcarmart.com/used_cars/info.php?ID=1191758&DL=3998&utm_content=SLeligible
1702,23260.0,26767.72890006931,True,https://www.sgcarmart.com/used_cars/info.php?ID=1278335&DL=1213
1703,11270.0,15039.146242509985,True,https://www.sgcarmart.com/used_cars/info.php?ID=1244527&DL=1368&utm_content=SLeligible
1705,21730.0,23212.46017672252,True,https://www.sgcarmart.com/used_cars/info.php?ID=1267333&DL=1418&utm_content=SLeligible
1706,21660.0,22576.680777459766,True,https://www.sgcarmart.com/used_cars/info.php?ID=1264630&DL=1127&utm_content=SLeligible
1709,14210.0,15118.1156768256,True,https://www.sgcarmart.com/used_cars/info.php?ID=1277328&DL=2469
1710,14960.0,15063.019642008363,True,https://www.sgcarmart.com/used_cars/info.php?ID=1278087&DL=1198
1711,12850.0,15449.130473900845,True,https://www.sgcarmart.com/used_cars/info.php?ID=1278355&DL=1073
1715,17460.0,18487.245884459957,True,https://www.sgcarmart.com/used_cars/info.php?ID=1264253&DL=2291&utm_content=SLeligible
1716,34300.0,39160.58773062294,True,https://www.sgcarmart.com/used_cars/info.php?ID=1240431&DL=2689&utm_content=SLeligible
1722,18910.0,19637.71467120171,True,https://www.sgcarmart.com/used_cars/info.php?ID=1275278&DL=2817
1723,22030.0,31933.620865062807,True,https://www.sgcarmart.com/used_cars/info.php?ID=1226293&DL=3210&utm_content=SLeligible
1729,15510.0,18076.30804252648,True,https://www.sgcarmart.com/used_cars/info.php?ID=1249599&DL=1400&utm_content=SLeligible
1731,12960.0,16385.69873486943,True,https://www.sgcarmart.com/used_cars/info.php?ID=1278692&DL=2163&utm_content=SLeligible
1733,20740.0,23223.43536495593,True,https://www.sgcarmart.com/used_cars/info.php?ID=1191394&DL=2448&utm_content=SLeligible
1735,19710.0,19788.636862109994,True,https://www.sgcarmart.com/used_cars/info.php?ID=1254084&DL=2913&utm_content=SLeligible
1738,19870.0,21581.324796106284,True,https://www.sgcarmart.com/used_cars/info.php?ID=1278225&DL=1000&utm_content=SLeligible
1739,35060.0,39839.33969455256,True,https://www.sgcarmart.com/used_cars/info.php?ID=1232408&DL=3602&utm_content=SLeligible
1741,18590.0,19632.561570201255,True,https://www.sgcarmart.com/used_cars/info.php?ID=1236197&DL=1043&utm_content=SLeligible
1742,14300.0,14965.446834305578,True,https://www.sgcarmart.com/used_cars/info.php?ID=1241121&DL=1106&utm_content=SLeligible
1748,19100.0,19888.412348362657,True,https://www.sgcarmart.com/used_cars/info.php?ID=1263139&DL=1309&utm_content=SLeligible
1753,12760.0,15471.02496724001,True,https://www.sgcarmart.com/used_cars/info.php?ID=1276352&DL=4412&utm_content=SLeligible
1754,14780.0,15801.480995919726,True,https://www.sgcarmart.com/used_cars/info.php?ID=1256856&DL=4523&utm_content=SLeligible
1758,15890.0,17059.596972322048,True,https://www.sgcarmart.com/used_cars/info.php?ID=1278152&DL=2799
1762,18250.0,20158.04506337203,True,https://www.sgcarmart.com/used_cars/info.php?ID=1273406&DL=1127
1766,17560.0,19738.150846395027,True,https://www.sgcarmart.com/used_cars/info.php?ID=1278343&DL=4481
1767,10950.0,12204.891925005533,True,https://www.sgcarmart.com/used_cars/info.php?ID=1276634&DL=3750&utm_content=SLeligible
1768,11350.0,14129.125620691462,True,https://www.sgcarmart.com/used_cars/info.php?ID=1273258&DL=3887&utm_content=SLeligible
1771,15820.0,17621.18204414318,True,https://www.sgcarmart.com/used_cars/info.php?ID=1255932&DL=3931&utm_content=SLeligible
1773,13400.0,13402.735504425185,True,https://www.sgcarmart.com/used_cars/info.php?ID=1266942&DL=1177&utm_content=SLeligible
1775,11810.0,14166.140637749042,True,https://www.sgcarmart.com/used_cars/info.php?ID=1260611&DL=3915&utm_content=SLeligible
